"Table 1a. Coefficient of Variation of the Average Annual Family Income, by  Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I - ILOCOS REGION,2.1,2.5,2.1,2.6,2.1,2.3,3.2,2.7,2.3,3.2,3.7,3.4,7.3,6.5,6.1,5.7,7.0,6.2,5.5,6.8,6.9,9.8,2.1,2.4,2.0,2.1,2.4,2.2,2.5,2.6,3.0,2.6,3.5
Ilocos Norte,3.8,3.2,3.4,3.3,4.0,4.2,3.7,4.5,4.3,5.2,7.6,5.5,14.7,9.2,8.7,9.3,9.5,9.4,9.3,11.4,11.0,15.1,2.9,2.4,2.9,3.1,2.9,3.6,3.2,4.3,4.8,4.8,5.9
Ilocos Sur,3.8,3.5,3.1,3.2,3.6,4.1,3.7,3.4,4.0,4.3,6.9,6.6,11.5,9.7,8.8,9.6,9.3,9.7,10.6,10.9,11.6,16.8,3.1,2.8,2.6,3.1,3.2,3.6,3.6,4.5,4.1,4.7,4.9
La Union,3.8,4.0,3.3,3.4,3.6,3.9,4.4,3.8,4.9,5.1,7.9,6.1,11.8,10.1,8.5,10.4,9.7,9.8,9.1,12.5,10.5,16.6,4.1,4.2,3.4,3.3,4.2,3.5,5.3,4.6,4.4,4.0,5.2
Pangasinan,3.3,3.7,3.0,3.9,3.1,3.5,4.7,4.7,3.9,5.2,6.0,5.4,10.2,10.1,8.5,9.1,9.3,10.1,9.1,10.6,11.9,15.1,3.6,2.9,2.8,2.9,3.2,3.6,3.7,4.1,4.2,4.7,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II - CAGAYAN VALLEY,2.4,1.8,2.2,2.1,2.2,2.4,2.2,2.7,2.8,2.4,4.0,3.9,7.4,5.2,5.8,5.5,5.3,5.6,6.0,6.1,6.3,10.8,2.0,1.9,2.0,1.8,1.9,2.0,2.2,2.2,2.3,2.4,4.2
Batanes,5.3,8.6,6.1,9.6,7.0,4.6,8.5,4.3,6.0,6.4,8.3,9.2,16.0,10.2,11.5,15.5,18.1,14.4,14.0,16.1,17.1,20.7,4.3,4.0,5.1,6.3,5.7,4.7,6.6,5.1,7.0,8.3,8.5
Cagayan,4.0,3.2,4.0,3.7,3.7,3.1,4.4,4.9,4.9,4.1,7.7,6.3,11.1,9.0,8.4,10.1,9.1,8.9,9.9,10.0,12.4,16.1,4.0,3.9,2.9,2.8,3.8,4.0,3.5,3.9,4.2,3.9,8.7
